Desc,ID,Subj object id,Obj object id
"Rotenstein, Heinrich von (ID: 251) hat Ehe mit Rotenstein, Kleopha von (ID: 5805)",12787,251,5805
"Fieger, verh. Ebenstetter, Magdalena (ID: 4242) hat Ehe mit Ebenstetter, Adolf (ID: 4244)",12797,4242,4244
"Hürnheim, verh. Stadion, Rosa von (ID: 5815) hat Ehe mit Stadion, Hans von (ID: 5814)",12840,5815,5814
"Ärtzingen, Simon von (ID: 5850) hat Ehe mit Ärtzingen, geb. Truchsess von Hufingen, Barbara von (ID: 5849)",13059,5850,5849
"Fuchsmagen, Sigmund (ID: 2389) hat Ehe mit Clävinger, verh. Fuchsmagen, Priska (ID: 3279)",13113,2389,3279
"Fuchsmagen, verh. Mertensdorfer, Margarethe (ID: 5855) hat Ehe mit Mertensdorfer, Heinrich (ID: 4028)",13116,5855,4028
"Montani, Matthias von (ID: 5950) hat Ehe mit Montani, Osanna von (ID: 5949)",13297,5950,5949
"Pücher, verh. Gansberger, Ainbet (ID: 6000) hat Ehe mit Gansberger, Andreas (ID: 5998)",13433,6000,5998
"Pücher, verh. Litscher, Anna (ID: 6001) hat Ehe mit Litscher, Ludwig (ID: 5999)",13434,6001,5999
"Fuchs, Hildegard (ID: 6007) hat Ehe mit Fuchs, Georg (ID: 4774)",13450,6007,4774
"Fuchs, Barbara (ID: 6023) hat Ehe mit Fuchs, Christian (ID: 3324)",13602,6023,3324
"Senng, verh. Spieß, Anna (ID: 300) hat Ehe mit Spieß vom Spieß, Leopold (ID: 294)",13652,300,294
"Montani, verh. von Freyberg, Magdalena (ID: 6048) hat Ehe mit Freyberg (zu Hohenfreyberg), Friedrich von (ID: 206)",13715,6048,206
"Gfeller, Ursula (ID: 6049) hat Ehe mit Gfeller, Alexander (ID: 5390)",13734,6049,5390
"Gufidaun, Katharina von (ID: 6088) hat Ehe mit Gufidaun, Sigmund von (ID: 6089)",13937,6088,6089
"Thurn, verh. von Villanders, Margarethe von (ID: 6106) hat Ehe mit Villanders, Balthasar von (ID: 6104)",13965,6106,6104
"Fridung, genannt (alter) Küchenmeister, Konrad (ID: 1268) hat Ehe mit Firmian, verh. Fridung, Agnes von (ID: 4438)",13970,1268,4438
"Gufidaun, verh. von Thun, Dorothea von (ID: 6116) hat Ehe mit Thun, Anton von (ID: 5052)",13979,6116,5052
"Gufidaun, verh. Sieberdorfer, Barbara von (ID: 6113) hat Ehe mit Sieberdorfer, Jörg (ID: 6112)",13994,6113,6112
"Staudinger, Barbara (ID: 6125) hat Ehe mit Staudinger, Georg (ID: 3368)",14038,6125,3368
"N., verh. von Firmian, verh. von Stetten, N. von (ID: 6138) hat Ehe mit Stetten, Sigmund von (ID: 6136)",14063,6138,6136
"Landau, Heinrich von (ID: 5195) hat Ehe mit Landau (Frau des Heinrich von Landau), N. von (ID: 5196)",14107,5195,5196
"Maßmünster, Ludwig von (ID: 301) hat Ehe mit Maßmünster, Ludwig von (ID: 301)",14140,301,301
"Mentlberger, Dorothea (ID: 6155) hat Ehe mit Mentlberger, Heinrich (ID: 1146)",14197,6155,1146
"Calaus, Wenzel (ID: 1948) hat Ehe mit Schachner, verh. Calaus, Walburga (ID: 3726)",14281,1948,3726
"Seibersdorf, verh. Gneus, Cäcilia (ID: 2530) hat Ehe mit Gneus, Vigilius (ID: 2294)",14301,2530,2294
"Wolf, Barbara (ID: 6188) hat Ehe mit Wolf, Burkhard (ID: 5235)",14308,6188,5235
