Name,Vorname,Start,End,Alternative Namen,Status,ID,Geschlecht
Blaugarn,N.,,,Plabgarn,,8727,männlich
Bleischwer,Hans,,,"Pleiswár
Pleiswaͤr
Pleiswär
Pleyswer
Pleyswaͤr
Pleyswar
Bleyswer
Pleyswär
Pleÿswár
Pleyschwär
Pleiswar
Pleÿswär
Pleyschwar",,7839,männlich
Bludenz,Henig von,,,,,4349,männlich
Blum,Hans,,,Pluem,,13551,männlich
Blum,Leonhard,,,Pluem,,10984,männlich
Blümel,Agnes,,,"Plúemlin
Plüemin
Pluͤemlin",,12082,männlich
Blumenau,Lorenz,,,"Blumnaw
Blumenaw
Blumnaͤw
Blumnáw",Doktor beider Rechte,90,männlich
Blumenau,Ludwig von,,,Blumnaw,,4844,männlich
Blumenegg,Balthasar von,,,"Blumeneck
Plumenekg
Blumenegk",,5368,männlich
Blumenegg,Bernhard von,,,"Plummeck
Blumbeck",,12973,männlich
Blumenegg,Dietrich von,,,"Bluemegk
Bluemenegk
von Bluͤmenekg
von Blumnegk
von Blúmnegk
von Bluemeneckg
von Plumnegk",Herr; Ritter,42,männlich
Blumenegg,Engelhard von,,,,,7394,männlich
Blumenegg,Georg von,,,"Blumeneck
Blumenegk
Bluemegk
Plumnegk
Blummeck
Pluemenekg",,3695,männlich
Blumenegg,Hans Dietrich von,,,"Blumegkh
Bluemegk
Puemneck
Blumnegk
Blumnegg
Blummeck",Herr; Ritter,909,männlich
Blumenegg,Heinrich von,,,,,7393,männlich
Blumenegg,Kaspar von,,,"Blumeneck
Blumenegk
Plumenegk
Plúemegk
Pluemnegk
Blummeck
Bluemegk
Blumneck
Bluemenegk",Herr; Ritter,4482,männlich
Blumenegg,Melchior von,,,"Blumeneck
Blumenekg
Blumenegk",Herr,4076,männlich
Blumenegg,N. von,,,Pluemegk,,2699,männlich
Blumenegg,Rudolf von,,,"Pluemegkh
Blúemenegk
Bluͤmenegk
Bluemeck
Pluemeck
Plúmegk",,494,männlich
Blumenegg,Veronika von,,,Blumeneck,,5369,weiblich
Blumenegg (Vater des Kaspar von Blumenegg),N. von,,,Bluemenegk,,13390,männlich
"Blumenegg, verh. Haus",Beatrix von,,,"Blumeneck
Huss",,4106,weiblich
Blüml,Barbara,,,,,9409,weiblich
Blüml,N.,,vor 12.04.1484 <1484-04-11>,Plueml,,9408,männlich
Blum von Nock,Konrad,,,Pluem von Nockh,,3331,männlich
Bock,Bernhard,,,"Bokh
Pokh",,12587,männlich
Bock,Kaspar,,,"Pockh
Bockh
Pock
Pokh",,645,männlich
Bock,Konrad,,,Pockh,,7930,männlich
